Source,Site,Month,Year,Parameter,Value,Units,Total Depth,Sample Depth
AOML,1,2,2004,NH4,0,mg/L,,
AOML,2,2,2004,NH4,0,mg/L,,
AOML,3,2,2004,NH4,0,mg/L,,
AOML,4,2,2004,NH4,0,mg/L,,
AOML,5,2,2004,NH4,0,mg/L,,
AOML,5.5,2,2004,NH4,0,mg/L,,
AOML,6,2,2004,NH4,0,mg/L,,
AOML,6.5,2,2004,NH4,0,mg/L,,
AOML,7,2,2004,NH4,0,mg/L,,
AOML,8,2,2004,NH4,0,mg/L,,
AOML,9,2,2004,NH4,0,mg/L,,
AOML,9.5,2,2004,NH4,0,mg/L,,
AOML,10,2,2004,NH4,0,mg/L,,
AOML,11,2,2004,NH4,0,mg/L,,
AOML,12,2,2004,NH4,0,mg/L,,
AOML,13,2,2004,NH4,0.01,mg/L,,
AOML,14,2,2004,NH4,0,mg/L,,
AOML,15,2,2004,NH4,0,mg/L,,
AOML,15.5,2,2004,NH4,0.01,mg/L,,
AOML,18,2,2004,NH4,0.01,mg/L,,
AOML,19,2,2004,NH4,0.01,mg/L,,
AOML,21,2,2004,NH4,0,mg/L,,
AOML,21.5,2,2004,NH4,0.01,mg/L,,
AOML,22,2,2004,NH4,0.01,mg/L,,
AOML,22.5,2,2004,NH4,0.01,mg/L,,
AOML,23,2,2004,NH4,0,mg/L,,
AOML,24,2,2004,NH4,0,mg/L,,
AOML,30,2,2004,NH4,0,mg/L,,
AOML,30.5,2,2004,NH4,0,mg/L,,
AOML,31,2,2004,NH4,0,mg/L,,
AOML,32,2,2004,NH4,0,mg/L,,
AOML,33,2,2004,NH4,0,mg/L,,
AOML,34,2,2004,NH4,0.01,mg/L,,
AOML,39,2,2004,NH4,0.05,mg/L,,
AOML,40,2,2004,NH4,0.04,mg/L,,
AOML,41,2,2004,NH4,0.04,mg/L,,
AOML,42,2,2004,NH4,0.01,mg/L,,
AOML,45,2,2004,NH4,0.03,mg/L,,
AOML,46,2,2004,NH4,0.05,mg/L,,
AOML,47,2,2004,NH4,0.05,mg/L,,
AOML,48,2,2004,NH4,0.08,mg/L,,
AOML,49,2,2004,NH4,0.08,mg/L,,
AOML,50,2,2004,NH4,0.03,mg/L,,
AOML,51,2,2004,NH4,0.01,mg/L,,
AOML,52,2,2004,NH4,0.04,mg/L,,
AOML,53,2,2004,NH4,0.1,mg/L,,
AOML,54,2,2004,NH4,0.2,mg/L,,
AOML,55,2,2004,NH4,0.09,mg/L,,
AOML,56,2,2004,NH4,0.05,mg/L,,
AOML,57,2,2004,NH4,0.05,mg/L,,
AOML,58,2,2004,NH4,0.02,mg/L,,
AOML,59,2,2004,NH4,0.02,mg/L,,
AOML,60,2,2004,NH4,0.01,mg/L,,
AOML,61,2,2004,NH4,0.02,mg/L,,
AOML,62,2,2004,NH4,0.04,mg/L,,
AOML,63,2,2004,NH4,0.07,mg/L,,
AOML,64,2,2004,NH4,0.1,mg/L,,
AOML,65,2,2004,NH4,0.06,mg/L,,
AOML,66,2,2004,NH4,0.02,mg/L,,
AOML,67,2,2004,NH4,0.01,mg/L,,
AOML,68,2,2004,NH4,0,mg/L,,
AOML,69,2,2004,NH4,0.01,mg/L,,
AOML,70,2,2004,NH4,0.01,mg/L,,
AOML,CAL1,2,2004,NH4,0.05,mg/L,,
AOML,CAL2,2,2004,NH4,0.03,mg/L,,
AOML,CAL3,2,2004,NH4,0.02,mg/L,,
AOML,CAL4,2,2004,NH4,0.01,mg/L,,
AOML,CAL5,2,2004,NH4,0.01,mg/L,,
AOML,13,4,2004,NH4,0,mg/L,,
AOML,14,4,2004,NH4,0,mg/L,,
AOML,15,4,2004,NH4,0,mg/L,,
AOML,15.5,4,2004,NH4,0,mg/L,,
AOML,16,4,2004,NH4,0,mg/L,,
AOML,17,4,2004,NH4,0,mg/L,,
AOML,18,4,2004,NH4,0,mg/L,,
AOML,19,4,2004,NH4,0,mg/L,,
AOML,20,4,2004,NH4,0,mg/L,,
AOML,21,4,2004,NH4,0,mg/L,,
AOML,21.5,4,2004,NH4,0,mg/L,,
AOML,22,4,2004,NH4,0,mg/L,,
AOML,22.5,4,2004,NH4,0,mg/L,,
AOML,23,4,2004,NH4,0,mg/L,,
AOML,24,4,2004,NH4,0,mg/L,,
AOML,30,4,2004,NH4,0,mg/L,,
AOML,30.5,4,2004,NH4,0,mg/L,,
AOML,31,4,2004,NH4,0.02,mg/L,,
AOML,32,4,2004,NH4,0.02,mg/L,,
AOML,33,4,2004,NH4,0.03,mg/L,,
AOML,34,4,2004,NH4,0.01,mg/L,,
AOML,39,4,2004,NH4,0,mg/L,,
AOML,40,4,2004,NH4,0.04,mg/L,,
AOML,41,4,2004,NH4,0.03,mg/L,,
AOML,42,4,2004,NH4,0.01,mg/L,,
AOML,45,4,2004,NH4,0.02,mg/L,,
AOML,46,4,2004,NH4,0.01,mg/L,,
AOML,47,4,2004,NH4,0.02,mg/L,,
AOML,48,4,2004,NH4,0,mg/L,,
AOML,49,4,2004,NH4,0.02,mg/L,,
AOML,50,4,2004,NH4,0.02,mg/L,,
AOML,51,4,2004,NH4,0.02,mg/L,,
AOML,52,4,2004,NH4,0.02,mg/L,,
AOML,53,4,2004,NH4,0.04,mg/L,,
AOML,54,4,2004,NH4,0.04,mg/L,,
AOML,55,4,2004,NH4,0.04,mg/L,,
AOML,56,4,2004,NH4,0.04,mg/L,,
AOML,57,4,2004,NH4,0.01,mg/L,,
AOML,58,4,2004,NH4,0.01,mg/L,,
AOML,59,4,2004,NH4,0,mg/L,,
AOML,60,4,2004,NH4,0.01,mg/L,,
AOML,61,4,2004,NH4,0.01,mg/L,,
AOML,62,4,2004,NH4,0.01,mg/L,,
AOML,63,4,2004,NH4,0.01,mg/L,,
AOML,64,4,2004,NH4,0.02,mg/L,,
AOML,65,4,2004,NH4,0.02,mg/L,,
AOML,66,4,2004,NH4,0.01,mg/L,,
AOML,67,4,2004,NH4,0.01,mg/L,,
AOML,68,4,2004,NH4,0.01,mg/L,,
AOML,69,4,2004,NH4,0.01,mg/L,,
AOML,70,4,2004,NH4,0.01,mg/L,,
AOML,CAL1,4,2004,NH4,0,mg/L,,
AOML,CAL2,4,2004,NH4,0,mg/L,,
AOML,CAL3,4,2004,NH4,0,mg/L,,
AOML,CAL4,4,2004,NH4,0,mg/L,,
AOML,CAL5,4,2004,NH4,0,mg/L,,
AOML,1,5,2004,NH4,0,mg/L,,
AOML,2,5,2004,NH4,0,mg/L,,
AOML,3,5,2004,NH4,0,mg/L,,
AOML,4,5,2004,NH4,0,mg/L,,
AOML,5,5,2004,NH4,0,mg/L,,
AOML,5.5,5,2004,NH4,0,mg/L,,
AOML,6,5,2004,NH4,0,mg/L,,
AOML,6.5,5,2004,NH4,0,mg/L,,
AOML,7,5,2004,NH4,0,mg/L,,
AOML,8,5,2004,NH4,0,mg/L,,
AOML,9,5,2004,NH4,0,mg/L,,
AOML,9.5,5,2004,NH4,0,mg/L,,
AOML,10,5,2004,NH4,0,mg/L,,
AOML,11,5,2004,NH4,0,mg/L,,
AOML,12,5,2004,NH4,0,mg/L,,
AOML,1,6,2004,NH4,0,mg/L,,
AOML,2,6,2004,NH4,0.01,mg/L,,
AOML,3,6,2004,NH4,0.01,mg/L,,
AOML,4,6,2004,NH4,0.01,mg/L,,
AOML,5,6,2004,NH4,0,mg/L,,
AOML,5.5,6,2004,NH4,0,mg/L,,
AOML,6,6,2004,NH4,0,mg/L,,
AOML,6.5,6,2004,NH4,0,mg/L,,
AOML,7,6,2004,NH4,0.01,mg/L,,
AOML,8,6,2004,NH4,0.01,mg/L,,
AOML,9,6,2004,NH4,0,mg/L,,
AOML,9.5,6,2004,NH4,0,mg/L,,
AOML,10,6,2004,NH4,0.01,mg/L,,
AOML,11,6,2004,NH4,0,mg/L,,
AOML,12,6,2004,NH4,0,mg/L,,
AOML,13,6,2004,NH4,0,mg/L,,
AOML,14,6,2004,NH4,0,mg/L,,
AOML,15,6,2004,NH4,0,mg/L,,
AOML,15.5,6,2004,NH4,0,mg/L,,
AOML,16,6,2004,NH4,0,mg/L,,
AOML,17,6,2004,NH4,0,mg/L,,
AOML,18,6,2004,NH4,0,mg/L,,
AOML,19,6,2004,NH4,0,mg/L,,
AOML,20,6,2004,NH4,0,mg/L,,
AOML,21,6,2004,NH4,0,mg/L,,
AOML,21.5,6,2004,NH4,0,mg/L,,
AOML,22,6,2004,NH4,0,mg/L,,
AOML,22.5,6,2004,NH4,0,mg/L,,
AOML,23,6,2004,NH4,0,mg/L,,
AOML,24,6,2004,NH4,0,mg/L,,
AOML,30,6,2004,NH4,0.01,mg/L,,
AOML,30.5,6,2004,NH4,0.01,mg/L,,
AOML,31,6,2004,NH4,0,mg/L,,
AOML,32,6,2004,NH4,0,mg/L,,
AOML,33,6,2004,NH4,0,mg/L,,
AOML,34,6,2004,NH4,0,mg/L,,
AOML,39,6,2004,NH4,0.05,mg/L,,
AOML,40,6,2004,NH4,0.02,mg/L,,
AOML,41,6,2004,NH4,0.01,mg/L,,
AOML,42,6,2004,NH4,0.01,mg/L,,
AOML,45,6,2004,NH4,0,mg/L,,
AOML,46,6,2004,NH4,0,mg/L,,
AOML,47,6,2004,NH4,0,mg/L,,
AOML,48,6,2004,NH4,0,mg/L,,
AOML,49,6,2004,NH4,0.01,mg/L,,
AOML,50,6,2004,NH4,0.01,mg/L,,
AOML,51,6,2004,NH4,0.02,mg/L,,
AOML,52,6,2004,NH4,0,mg/L,,
AOML,53,6,2004,NH4,0,mg/L,,
AOML,54,6,2004,NH4,0.01,mg/L,,
AOML,55,6,2004,NH4,0.03,mg/L,,
AOML,56,6,2004,NH4,0.02,mg/L,,
AOML,57,6,2004,NH4,0.02,mg/L,,
AOML,58,6,2004,NH4,0.01,mg/L,,
AOML,59,6,2004,NH4,0.01,mg/L,,
AOML,60,6,2004,NH4,0,mg/L,,
AOML,61,6,2004,NH4,0,mg/L,,
AOML,62,6,2004,NH4,0,mg/L,,
AOML,63,6,2004,NH4,0,mg/L,,
AOML,64,6,2004,NH4,0,mg/L,,
AOML,65,6,2004,NH4,0,mg/L,,
AOML,66,6,2004,NH4,0,mg/L,,
AOML,67,6,2004,NH4,0,mg/L,,
AOML,68,6,2004,NH4,0,mg/L,,
AOML,69,6,2004,NH4,0,mg/L,,
AOML,70,6,2004,NH4,0,mg/L,,
AOML,CAL1,6,2004,NH4,0,mg/L,,
AOML,CAL2,6,2004,NH4,0,mg/L,,
AOML,CAL3,6,2004,NH4,0,mg/L,,
AOML,CAL4,6,2004,NH4,0,mg/L,,
AOML,CAL5,6,2004,NH4,0,mg/L,,
AOML,1,8,2004,NH4,0,mg/L,,
AOML,2,8,2004,NH4,0,mg/L,,
AOML,3,8,2004,NH4,0,mg/L,,
AOML,4,8,2004,NH4,0,mg/L,,
AOML,5,8,2004,NH4,0,mg/L,,
AOML,5.5,8,2004,NH4,0,mg/L,,
AOML,6,8,2004,NH4,0,mg/L,,
AOML,6.5,8,2004,NH4,0,mg/L,,
AOML,7,8,2004,NH4,0,mg/L,,
AOML,8,8,2004,NH4,0,mg/L,,
AOML,9,8,2004,NH4,0,mg/L,,
AOML,9.5,8,2004,NH4,0,mg/L,,
AOML,10,8,2004,NH4,0,mg/L,,
AOML,11,8,2004,NH4,0,mg/L,,
AOML,12,8,2004,NH4,0,mg/L,,
AOML,14,8,2004,NH4,0,mg/L,,
AOML,15,8,2004,NH4,0,mg/L,,
AOML,15.5,8,2004,NH4,0,mg/L,,
AOML,16,8,2004,NH4,0,mg/L,,
AOML,17,8,2004,NH4,0,mg/L,,
AOML,18,8,2004,NH4,0,mg/L,,
AOML,19,8,2004,NH4,0.01,mg/L,,
AOML,20,8,2004,NH4,0,mg/L,,
AOML,21,8,2004,NH4,0,mg/L,,
AOML,21.5,8,2004,NH4,0,mg/L,,
AOML,22,8,2004,NH4,0,mg/L,,
AOML,22.5,8,2004,NH4,0,mg/L,,
AOML,23,8,2004,NH4,0.01,mg/L,,
AOML,24,8,2004,NH4,0,mg/L,,
AOML,30,8,2004,NH4,0,mg/L,,
AOML,30.5,8,2004,NH4,0,mg/L,,
AOML,31,8,2004,NH4,0,mg/L,,
AOML,32,8,2004,NH4,0,mg/L,,
AOML,33,8,2004,NH4,0,mg/L,,
AOML,34,8,2004,NH4,0.04,mg/L,,
AOML,39,8,2004,NH4,0.04,mg/L,,
AOML,40,8,2004,NH4,0.03,mg/L,,
AOML,41,8,2004,NH4,0.03,mg/L,,
AOML,42,8,2004,NH4,0.02,mg/L,,
AOML,45,8,2004,NH4,0.02,mg/L,,
AOML,46,8,2004,NH4,0.03,mg/L,,
AOML,47,8,2004,NH4,0.02,mg/L,,
AOML,48,8,2004,NH4,0.02,mg/L,,
AOML,49,8,2004,NH4,0.02,mg/L,,
AOML,50,8,2004,NH4,0.01,mg/L,,
AOML,51,8,2004,NH4,0.01,mg/L,,
AOML,52,8,2004,NH4,0.02,mg/L,,
AOML,53,8,2004,NH4,0.01,mg/L,,
AOML,54,8,2004,NH4,0.01,mg/L,,
AOML,55,8,2004,NH4,0,mg/L,,
AOML,56,8,2004,NH4,0.01,mg/L,,
AOML,57,8,2004,NH4,0,mg/L,,
AOML,58,8,2004,NH4,0,mg/L,,
AOML,59,8,2004,NH4,0,mg/L,,
AOML,60,8,2004,NH4,0,mg/L,,
AOML,61,8,2004,NH4,0,mg/L,,
AOML,62,8,2004,NH4,0.01,mg/L,,
AOML,63,8,2004,NH4,0.01,mg/L,,
AOML,64,8,2004,NH4,0,mg/L,,
AOML,65,8,2004,NH4,0,mg/L,,
AOML,66,8,2004,NH4,0,mg/L,,
AOML,67,8,2004,NH4,0,mg/L,,
AOML,68,8,2004,NH4,0,mg/L,,
AOML,69,8,2004,NH4,0,mg/L,,
AOML,70,8,2004,NH4,0,mg/L,,
AOML,CAL1,8,2004,NH4,0.03,mg/L,,
AOML,CAL2,8,2004,NH4,0.01,mg/L,,
AOML,CAL3,8,2004,NH4,0,mg/L,,
AOML,CAL4,8,2004,NH4,0,mg/L,,
AOML,CAL5,8,2004,NH4,0,mg/L,,
AOML,1,10,2004,NH4,0.02,mg/L,,
AOML,2,10,2004,NH4,0.01,mg/L,,
AOML,3,10,2004,NH4,0.02,mg/L,,
AOML,4,10,2004,NH4,0.01,mg/L,,
AOML,5,10,2004,NH4,0.01,mg/L,,
AOML,5.5,10,2004,NH4,0.01,mg/L,,
AOML,6,10,2004,NH4,0.01,mg/L,,
AOML,6.5,10,2004,NH4,0.01,mg/L,,
AOML,7,10,2004,NH4,0.01,mg/L,,
AOML,8,10,2004,NH4,0.01,mg/L,,
AOML,9,10,2004,NH4,0.01,mg/L,,
AOML,9.5,10,2004,NH4,0,mg/L,,
AOML,10,10,2004,NH4,0,mg/L,,
AOML,11,10,2004,NH4,0.01,mg/L,,
AOML,12,10,2004,NH4,0,mg/L,,
AOML,13,10,2004,NH4,0.01,mg/L,,
AOML,14,10,2004,NH4,0.01,mg/L,,
AOML,15,10,2004,NH4,0,mg/L,,
AOML,15.5,10,2004,NH4,0,mg/L,,
AOML,16,10,2004,NH4,0,mg/L,,
AOML,17,10,2004,NH4,0.01,mg/L,,
AOML,18,10,2004,NH4,0,mg/L,,
AOML,19,10,2004,NH4,0.01,mg/L,,
AOML,20,10,2004,NH4,0.01,mg/L,,
AOML,21,10,2004,NH4,0,mg/L,,
AOML,21.5,10,2004,NH4,0,mg/L,,
AOML,22,10,2004,NH4,0,mg/L,,
AOML,22.5,10,2004,NH4,0,mg/L,,
AOML,23,10,2004,NH4,0,mg/L,,
AOML,24,10,2004,NH4,0,mg/L,,
AOML,30,10,2004,NH4,0,mg/L,,
AOML,30.5,10,2004,NH4,0,mg/L,,
AOML,31,10,2004,NH4,0,mg/L,,
AOML,32,10,2004,NH4,0,mg/L,,
AOML,33,10,2004,NH4,0,mg/L,,
AOML,34,10,2004,NH4,0.01,mg/L,,
AOML,39,10,2004,NH4,0.02,mg/L,,
AOML,40,10,2004,NH4,0.01,mg/L,,
AOML,41,10,2004,NH4,0.01,mg/L,,
AOML,42,10,2004,NH4,0,mg/L,,
AOML,45,10,2004,NH4,0.01,mg/L,,
AOML,46,10,2004,NH4,0,mg/L,,
AOML,47,10,2004,NH4,0.01,mg/L,,
AOML,48,10,2004,NH4,0.01,mg/L,,
AOML,49,10,2004,NH4,0.01,mg/L,,
AOML,50,10,2004,NH4,0.01,mg/L,,
AOML,51,10,2004,NH4,0.01,mg/L,,
AOML,52,10,2004,NH4,0.01,mg/L,,
AOML,53,10,2004,NH4,0.02,mg/L,,
AOML,54,10,2004,NH4,0.01,mg/L,,
AOML,55,10,2004,NH4,0,mg/L,,
AOML,56,10,2004,NH4,0.01,mg/L,,
AOML,57,10,2004,NH4,0,mg/L,,
AOML,58,10,2004,NH4,0,mg/L,,
AOML,59,10,2004,NH4,0,mg/L,,
AOML,60,10,2004,NH4,0,mg/L,,
AOML,61,10,2004,NH4,0,mg/L,,
AOML,62,10,2004,NH4,0,mg/L,,
AOML,63,10,2004,NH4,0,mg/L,,
AOML,64,10,2004,NH4,0.01,mg/L,,
AOML,65,10,2004,NH4,0,mg/L,,
AOML,66,10,2004,NH4,0,mg/L,,
AOML,67,10,2004,NH4,0,mg/L,,
AOML,68,10,2004,NH4,0,mg/L,,
AOML,69,10,2004,NH4,0,mg/L,,
AOML,70,10,2004,NH4,0,mg/L,,
AOML,CAL1,10,2004,NH4,0.01,mg/L,,
AOML,CAL2,10,2004,NH4,0.01,mg/L,,
AOML,CAL3,10,2004,NH4,0.01,mg/L,,
AOML,CAL4,10,2004,NH4,0,mg/L,,
AOML,CAL5,10,2004,NH4,0,mg/L,,
AOML,1,12,2004,NH4,0,mg/L,,
AOML,2,12,2004,NH4,0,mg/L,,
AOML,3,12,2004,NH4,0,mg/L,,
AOML,4,12,2004,NH4,0,mg/L,,
AOML,5,12,2004,NH4,0,mg/L,,
AOML,5.5,12,2004,NH4,0,mg/L,,
AOML,6,12,2004,NH4,0,mg/L,,
AOML,7,12,2004,NH4,0,mg/L,,
AOML,8,12,2004,NH4,0,mg/L,,
AOML,9,12,2004,NH4,0,mg/L,,
AOML,10,12,2004,NH4,0,mg/L,,
AOML,11,12,2004,NH4,0,mg/L,,
AOML,12,12,2004,NH4,0,mg/L,,
AOML,13,12,2004,NH4,0,mg/L,,
AOML,14,12,2004,NH4,0,mg/L,,
AOML,15,12,2004,NH4,0,mg/L,,
AOML,15.5,12,2004,NH4,0,mg/L,,
AOML,16,12,2004,NH4,0,mg/L,,
AOML,17,12,2004,NH4,0,mg/L,,
AOML,18,12,2004,NH4,0,mg/L,,
AOML,19,12,2004,NH4,0,mg/L,,
AOML,20,12,2004,NH4,0,mg/L,,
AOML,21,12,2004,NH4,0,mg/L,,
AOML,21.5,12,2004,NH4,0,mg/L,,
AOML,22,12,2004,NH4,0,mg/L,,
AOML,22.5,12,2004,NH4,0,mg/L,,
AOML,23,12,2004,NH4,0,mg/L,,
AOML,24,12,2004,NH4,0,mg/L,,
AOML,30,12,2004,NH4,0,mg/L,,
AOML,30.5,12,2004,NH4,0,mg/L,,
AOML,31,12,2004,NH4,0,mg/L,,
AOML,32,12,2004,NH4,0,mg/L,,
AOML,33,12,2004,NH4,0.01,mg/L,,
AOML,34,12,2004,NH4,0.04,mg/L,,
AOML,39,12,2004,NH4,0.01,mg/L,,
AOML,40,12,2004,NH4,0.01,mg/L,,
AOML,41,12,2004,NH4,0.01,mg/L,,
AOML,42,12,2004,NH4,0,mg/L,,
AOML,45,12,2004,NH4,0,mg/L,,
AOML,46,12,2004,NH4,0,mg/L,,
AOML,47,12,2004,NH4,0.01,mg/L,,
AOML,48,12,2004,NH4,0.01,mg/L,,
AOML,49,12,2004,NH4,0.01,mg/L,,
AOML,50,12,2004,NH4,0,mg/L,,
AOML,51,12,2004,NH4,0.01,mg/L,,
AOML,52,12,2004,NH4,0.01,mg/L,,
AOML,53,12,2004,NH4,0.01,mg/L,,
AOML,54,12,2004,NH4,0.02,mg/L,,
AOML,55,12,2004,NH4,0.01,mg/L,,
AOML,56,12,2004,NH4,0.01,mg/L,,
AOML,57,12,2004,NH4,0.01,mg/L,,
AOML,58,12,2004,NH4,0,mg/L,,
AOML,59,12,2004,NH4,0,mg/L,,
AOML,60,12,2004,NH4,0.01,mg/L,,
AOML,61,12,2004,NH4,0.01,mg/L,,
AOML,63,12,2004,NH4,0.01,mg/L,,
AOML,64,12,2004,NH4,0.01,mg/L,,
AOML,65,12,2004,NH4,0.01,mg/L,,
AOML,66,12,2004,NH4,0.01,mg/L,,
AOML,67,12,2004,NH4,0.01,mg/L,,
AOML,68,12,2004,NH4,0,mg/L,,
AOML,69,12,2004,NH4,0,mg/L,,
AOML,70,12,2004,NH4,0,mg/L,,
AOML,CAL1,12,2004,NH4,0.03,mg/L,,
AOML,CAL2,12,2004,NH4,0.03,mg/L,,
AOML,CAL3,12,2004,NH4,0.02,mg/L,,
AOML,CAL4,12,2004,NH4,0.01,mg/L,,
AOML,CAL5,12,2004,NH4,0.01,mg/L,,
AOML,1,2,2005,NH4,0,mg/L,,
AOML,2,2,2005,NH4,0,mg/L,,
AOML,3,2,2005,NH4,0,mg/L,,
AOML,4,2,2005,NH4,0,mg/L,,
AOML,5,2,2005,NH4,0,mg/L,,
AOML,6,2,2005,NH4,0,mg/L,,
AOML,6.5,2,2005,NH4,0,mg/L,,
AOML,7,2,2005,NH4,0,mg/L,,
AOML,8,2,2005,NH4,0,mg/L,,
AOML,9,2,2005,NH4,0,mg/L,,
AOML,9.5,2,2005,NH4,0,mg/L,,
AOML,10,2,2005,NH4,0,mg/L,,
AOML,11,2,2005,NH4,0,mg/L,,
AOML,12,2,2005,NH4,0,mg/L,,
AOML,13,2,2005,NH4,0,mg/L,,
AOML,14,2,2005,NH4,0,mg/L,,
AOML,15,2,2005,NH4,0,mg/L,,
AOML,15.5,2,2005,NH4,0,mg/L,,
AOML,16,2,2005,NH4,0,mg/L,,
AOML,17,2,2005,NH4,0,mg/L,,
AOML,18,2,2005,NH4,0,mg/L,,
AOML,19,2,2005,NH4,0,mg/L,,
AOML,20,2,2005,NH4,0,mg/L,,
AOML,21,2,2005,NH4,0,mg/L,,
AOML,21.5,2,2005,NH4,0,mg/L,,
AOML,22,2,2005,NH4,0,mg/L,,
AOML,22.5,2,2005,NH4,0,mg/L,,
AOML,23,2,2005,NH4,0,mg/L,,
AOML,24,2,2005,NH4,0,mg/L,,
AOML,30,2,2005,NH4,0,mg/L,,
AOML,30.5,2,2005,NH4,0,mg/L,,
AOML,31,2,2005,NH4,0,mg/L,,
AOML,32,2,2005,NH4,0,mg/L,,
AOML,33,2,2005,NH4,0,mg/L,,
AOML,34,2,2005,NH4,0,mg/L,,
AOML,39,2,2005,NH4,0,mg/L,,
AOML,40,2,2005,NH4,0,mg/L,,
AOML,41,2,2005,NH4,0,mg/L,,
AOML,42,2,2005,NH4,0,mg/L,,
AOML,45,2,2005,NH4,0,mg/L,,
AOML,46,2,2005,NH4,0,mg/L,,
AOML,47,2,2005,NH4,0,mg/L,,
AOML,48,2,2005,NH4,0,mg/L,,
AOML,49,2,2005,NH4,0,mg/L,,
AOML,50,2,2005,NH4,0,mg/L,,
AOML,51,2,2005,NH4,0,mg/L,,
AOML,52,2,2005,NH4,0,mg/L,,
AOML,53,2,2005,NH4,0,mg/L,,
AOML,54,2,2005,NH4,0,mg/L,,
AOML,55,2,2005,NH4,0,mg/L,,
AOML,56,2,2005,NH4,0,mg/L,,
AOML,57,2,2005,NH4,0,mg/L,,
AOML,58,2,2005,NH4,0,mg/L,,
AOML,59,2,2005,NH4,0,mg/L,,
AOML,60,2,2005,NH4,0,mg/L,,
AOML,61,2,2005,NH4,0,mg/L,,
AOML,62,2,2005,NH4,0,mg/L,,
AOML,63,2,2005,NH4,0,mg/L,,
AOML,64,2,2005,NH4,0,mg/L,,
AOML,65,2,2005,NH4,0,mg/L,,
AOML,66,2,2005,NH4,0,mg/L,,
AOML,67,2,2005,NH4,0,mg/L,,
AOML,68,2,2005,NH4,0,mg/L,,
AOML,69,2,2005,NH4,0,mg/L,,
AOML,70,2,2005,NH4,0,mg/L,,
AOML,CAL1,2,2005,NH4,0,mg/L,,
AOML,CAL2,2,2005,NH4,0,mg/L,,
AOML,CAL3,2,2005,NH4,0,mg/L,,
AOML,CAL4,2,2005,NH4,0,mg/L,,
AOML,CAL5,2,2005,NH4,0,mg/L,,
AOML,39,4,2005,NH4,0.01,mg/L,,
AOML,40,4,2005,NH4,0.04,mg/L,,
AOML,41,4,2005,NH4,0.01,mg/L,,
AOML,42,4,2005,NH4,0,mg/L,,
AOML,45,4,2005,NH4,0,mg/L,,
AOML,46,4,2005,NH4,0,mg/L,,
AOML,47,4,2005,NH4,0,mg/L,,
AOML,48,4,2005,NH4,0,mg/L,,
AOML,49,4,2005,NH4,0.01,mg/L,,
AOML,50,4,2005,NH4,0,mg/L,,
AOML,51,4,2005,NH4,0,mg/L,,
AOML,52,4,2005,NH4,0,mg/L,,
AOML,53,4,2005,NH4,0.01,mg/L,,
AOML,54,4,2005,NH4,0.01,mg/L,,
AOML,55,4,2005,NH4,0,mg/L,,
AOML,56,4,2005,NH4,0,mg/L,,
AOML,57,4,2005,NH4,0,mg/L,,
AOML,58,4,2005,NH4,0,mg/L,,
AOML,59,4,2005,NH4,0,mg/L,,
AOML,60,4,2005,NH4,0,mg/L,,
AOML,61,4,2005,NH4,0,mg/L,,
AOML,62,4,2005,NH4,0,mg/L,,
AOML,63,4,2005,NH4,0,mg/L,,
AOML,64,4,2005,NH4,0.01,mg/L,,
AOML,65,4,2005,NH4,0.01,mg/L,,
AOML,66,4,2005,NH4,0,mg/L,,
AOML,67,4,2005,NH4,0,mg/L,,
AOML,68,4,2005,NH4,0,mg/L,,
AOML,69,4,2005,NH4,0,mg/L,,
AOML,70,4,2005,NH4,0,mg/L,,
AOML,CAL1,4,2005,NH4,0.01,mg/L,,
AOML,CAL2,4,2005,NH4,0,mg/L,,
AOML,CAL3,4,2005,NH4,0,mg/L,,
AOML,CAL4,4,2005,NH4,0,mg/L,,
AOML,CAL5,4,2005,NH4,0,mg/L,,
AOML,31,6,2005,NH4,0.01,mg/L,,
AOML,32,6,2005,NH4,0,mg/L,,
AOML,33,6,2005,NH4,0.02,mg/L,,
AOML,34,6,2005,NH4,0.04,mg/L,,
AOML,39,6,2005,NH4,0.01,mg/L,,
AOML,40,6,2005,NH4,0,mg/L,,
AOML,41,6,2005,NH4,0.01,mg/L,,
AOML,42,6,2005,NH4,0,mg/L,,
AOML,45,6,2005,NH4,0,mg/L,,
AOML,46,6,2005,NH4,0,mg/L,,
AOML,47,6,2005,NH4,0,mg/L,,
AOML,48,6,2005,NH4,0,mg/L,,
AOML,49,6,2005,NH4,0,mg/L,,
AOML,50,6,2005,NH4,0,mg/L,,
AOML,51,6,2005,NH4,0,mg/L,,
AOML,52,6,2005,NH4,0,mg/L,,
AOML,53,6,2005,NH4,0.01,mg/L,,
AOML,54,6,2005,NH4,0.03,mg/L,,
AOML,55,6,2005,NH4,0,mg/L,,
AOML,56,6,2005,NH4,0,mg/L,,
AOML,57,6,2005,NH4,0,mg/L,,
AOML,58,6,2005,NH4,0,mg/L,,
AOML,59,6,2005,NH4,0,mg/L,,
AOML,60,6,2005,NH4,0,mg/L,,
AOML,61,6,2005,NH4,0,mg/L,,
AOML,62,6,2005,NH4,0,mg/L,,
AOML,63,6,2005,NH4,0,mg/L,,
AOML,64,6,2005,NH4,0,mg/L,,
AOML,65,6,2005,NH4,0.01,mg/L,,
AOML,66,6,2005,NH4,0,mg/L,,
AOML,67,6,2005,NH4,0,mg/L,,
AOML,68,6,2005,NH4,0,mg/L,,
